word,surprise,anger,sadness,happy,fear
flower ,0.05102041,0.010204082,0.030612247,0.05102041,0.030612247
flowers ,0.026190478,0.021428574,0.016666668,0.06428572,0.011904763
fly ,0.0487013,0.00974026,0.02922078,0.02922078,0.02922078
followed ,0.014592934,0.005376345,0.011520738,0.014592934,0.094470054
follows ,0.023809526,0.071428575,0.023809526,0.071428575,0.023809526
font ,0.006944445,0.004960318,0.020833334,0.1061508,0.006944445
forced ,0.001243219,0.12059224,0.001243219,0.001695298,0.014127487
forces ,0.006493507,0.006493507,0.032467537,0.11038961,0.006493507
forecast ,0.107142866,0.035714287,0.035714287,0.035714287,0.035714287
forgot ,0.005167174,0.12553191,0.003951368,0.006382979,0.002735562
fort ,0.035714287,0.035714287,0.035714287,0.107142866,0.035714287
fr ,0.107142866,0.035714287,0.035714287,0.035714287,0.035714287
frames ,0.053571433,0.017857144,0.053571433,0.017857144,0.053571433
framework ,0.035714287,0.035714287,0.035714287,0.035714287,0.107142866
frank ,0.026785716,0.026785716,0.0625,0.026785716,0.026785716
freedom ,0.05256065,0.020215636,0.02560647,0.020215636,0.02560647
frequency ,0.023809526,0.007936508,0.023809526,0.023809526,0.08730159
frequently ,0.007389163,0.022167487,0.041871924,0.032019705,0.027093597
fresh ,0.031512607,0.00210084,0.039915968,0.06092437,0.014705883
friends ,0.015508685,0.042272247,0.019762496,0.026852181,0.022421129
fuck ,0.037500005,0.033928573,0.030357145,0.033928573,0.0125
fucking ,0.025510205,0.04008746,0.045918364,0.01676385,0.013848397
fuel ,0.01948052,0.05844156,0.045454547,0.006493507,0.032467537
fully ,0.032627866,0.022045856,0.023809526,0.036155205,0.0308642
fun ,1.03E-04,8.22E-05,6.43E-05,5.07E-04,5.83E-05
funny ,0.086801246,0.002639752,0.002639752,0.047981367,0.002639752
future ,8.70E-05,6.68E-05,8.70E-05,1.03E-04,2.57E-04
gain ,0.015306124,0.008503402,0.0867347,0.018707484,0.018707484
gambling ,0.05952381,0.035714287,0.05952381,0.011904763,0.011904763
